Soil Type,Soil Moisture (%),Temperature (°C),Rainfall (mm),Humidity (%),Seed Type,Depth (inches)
loamy,67.61,-14.01,5.23,75.98,rice,2.78
loamy,64.03,44.38,12.17,72.63,soybean,1.1
loamy,30.21,24.5,7.14,53.76,sunflower,2.25
loamy,47.49,18.92,7.8,51.38,rice,2.27
sandy,71.9,13.22,20.32,46.67,sunflower,2.86
sandy,65.63,38.8,1.14,56.03,maize,3.11
clay,71.53,27.93,10.24,67.24,carrot,1.08
clay,11.21,21.08,10.84,21.53,carrot,1.44
sandy,25.2,-17.52,4.42,19.52,beans,4.81
loamy,67.67,38.82,14.59,76.28,carrot,1.13
clay,18.17,14.86,24.87,49.93,soybean,1.31
loamy,32.63,12.52,4.19,16.3,beans,3.84
sandy,9.79,-22.84,0.78,25.31,beans,4.07
loamy,86.54,33.04,17.11,83.7,carrot,1.42
clay,91.45,28.5,19.49,72.94,wheat,1.0
clay,78.35,36.64,20.1,89.6,carrot,1.12
clay,7.69,-9.51,9.68,95.88,wheat,1.37
loamy,84.1,30.37,20.7,94.77,carrot,1.4
sandy,33.95,44.48,12.79,93.3,beans,4.77
loamy,43.3,19.55,9.17,55.46,barley,1.84
loamy,87.07,-5.2,1.25,60.84,sunflower,2.45
sandy,25.33,9.61,4.34,7.0,maize,3.31
sandy,8.6,-12.15,15.75,90.04,wheat,1.18
sandy,97.59,25.14,3.9,74.41,maize,4.47
clay,5.34,1.76,14.59,0.25,cotton,1.25
loamy,88.39,-9.58,7.27,43.89,soybean,1.31
clay,50.33,34.76,29.9,88.48,soybean,1.23
sandy,53.52,44.82,15.55,86.4,sunflower,1.6
clay,56.08,41.8,4.28,50.52,carrot,1.42
loamy,77.78,42.25,19.27,93.95,cotton,1.2
clay,60.06,31.58,26.99,61.33,cotton,1.25
sandy,84.04,34.73,22.83,90.58,cotton,1.39
loamy,36.24,23.85,5.44,54.79,barley,1.72
loamy,73.22,43.04,11.24,69.71,cotton,1.04
loamy,38.11,14.9,29.46,51.62,sunflower,2.86
loamy,22.92,33.14,14.15,69.27,beans,4.72
loamy,47.17,21.11,7.73,43.27,corn,2.54
loamy,66.24,36.51,23.61,4.36,corn,1.99
sandy,2.98,2.26,4.71,27.78,beans,3.63
loamy,50.14,44.48,17.13,83.01,soybean,1.11
loamy,73.77,44.5,29.42,70.82,soybean,1.43
clay,56.23,26.04,28.31,53.97,wheat,1.49
clay,12.59,6.93,29.37,27.13,corn,2.84
loamy,41.81,20.13,8.4,40.48,corn,2.98
loamy,52.59,39.88,17.88,90.94,wheat,1.43
loamy,28.25,38.76,3.7,79.9,carrot,1.17
loamy,35.36,16.21,8.36,37.98,sunflower,1.65
clay,87.04,25.43,21.38,77.36,cotton,1.33
sandy,54.52,36.35,6.82,57.95,maize,4.61
sandy,21.45,35.75,19.34,46.55,barley,2.75
sandy,3.38,-9.43,2.39,5.39,beans,3.93
loamy,31.37,19.5,6.65,48.69,barley,2.08
loamy,38.9,22.17,7.89,51.37,rice,1.63
loamy,58.02,39.26,25.05,97.22,carrot,1.03
clay,34.24,-10.84,8.5,71.77,rice,1.83
sandy,67.23,24.67,4.77,84.03,soybean,1.11
loamy,85.21,25.08,4.38,4.91,wheat,1.14
loamy,76.69,20.37,8.34,67.76,sunflower,1.92
clay,50.73,9.2,18.81,42.57,rice,2.56
loamy,48.83,15.93,9.79,43.07,barley,3.0
clay,15.16,-5.03,8.03,57.72,corn,1.74
loamy,51.14,38.94,22.34,65.69,carrot,1.38
clay,53.62,30.84,16.89,94.95,carrot,1.22
clay,77.27,37.06,10.99,97.44,cotton,1.21
loamy,43.94,22.26,5.18,53.56,barley,1.84
loamy,46.17,22.72,6.53,35.88,rice,1.54
loamy,42.15,23.11,6.07,42.87,rice,2.49
loamy,80.97,28.9,26.34,65.96,carrot,1.1
clay,51.19,39.35,23.22,97.19,soybean,1.09
clay,78.66,3.96,26.67,79.42,maize,3.21
loamy,30.05,23.94,7.16,42.18,barley,2.55
sandy,29.33,29.49,28.62,9.08,corn,2.82
clay,63.59,42.56,17.53,81.43,wheat,1.34
sandy,28.39,0.49,3.47,11.77,beans,3.79
loamy,78.99,28.14,23.3,61.84,cotton,1.07
sandy,40.57,16.5,14.13,69.87,peanuts,3.19
loamy,93.07,36.76,13.9,63.76,wheat,1.2
loamy,73.74,20.07,0.1,81.75,rice,1.94
loamy,35.72,23.23,5.54,38.25,rice,2.52
sandy,64.62,10.55,8.37,38.6,rice,2.67
clay,71.02,-9.44,13.42,83.49,rice,2.69
loamy,20.77,44.22,27.16,37.21,corn,2.57
loamy,48.17,19.77,6.97,52.28,barley,2.63
sandy,26.48,-17.43,4.68,10.04,peanuts,4.88
loamy,53.15,43.82,20.73,85.6,wheat,1.37
clay,65.21,33.75,11.84,94.25,soybean,1.38
clay,65.0,25.96,20.22,64.61,soybean,1.37
sandy,54.55,2.39,18.79,51.39,rice,2.18
sandy,4.43,-24.55,3.04,28.53,peanuts,3.47
clay,0.71,0.4,7.48,77.72,barley,2.27
sandy,18.95,-1.27,4.34,30.07,peanuts,4.03
sandy,85.57,1.42,20.3,20.57,barley,1.51
loamy,43.64,24.54,5.75,46.7,rice,2.04
loamy,32.82,20.95,11.45,22.66,cotton,1.31
clay,37.55,33.24,5.56,67.18,rice,2.69
clay,71.17,39.81,27.9,95.77,soybean,1.35
sandy,39.22,32.52,22.05,0.35,wheat,1.49
clay,92.19,43.22,26.47,84.57,cotton,1.22
loamy,40.9,20.2,6.98,32.63,corn,1.87
clay,59.38,28.1,17.9,80.71,soybean,1.17
sandy,2.58,37.58,5.78,23.32,cotton,1.3
sandy,16.51,-24.06,3.89,19.37,peanuts,4.08
clay,75.46,30.72,11.4,64.84,cotton,1.34
sandy,49.22,27.42,21.92,9.46,maize,4.41
loamy,38.53,18.82,1.71,16.63,wheat,1.29
loamy,45.36,17.58,7.45,57.9,corn,2.72
loamy,48.57,18.82,6.3,43.04,barley,2.49
clay,22.02,-9.84,16.32,67.4,soybean,1.09
loamy,49.4,20.49,7.36,42.35,rice,1.62
loamy,70.45,36.87,21.78,43.44,soybean,1.02
clay,65.58,43.55,25.75,23.72,rice,2.88
clay,82.83,38.69,16.31,78.78,wheat,1.01
clay,40.89,0.78,16.93,50.31,barley,2.63
clay,46.72,15.74,5.75,84.93,barley,2.29
sandy,31.57,-13.33,17.57,35.73,rice,2.85
sandy,7.58,21.64,24.35,32.04,maize,3.8
clay,46.24,-6.82,1.81,61.52,peanuts,3.1
clay,4.81,7.86,6.72,31.57,maize,3.67
loamy,75.43,28.68,27.79,64.53,wheat,1.25
sandy,8.07,23.21,27.18,30.23,cotton,1.32
sandy,83.16,30.11,13.92,40.23,maize,3.26
loamy,37.26,24.94,5.48,40.22,sunflower,1.76
loamy,30.56,16.94,6.55,36.99,rice,2.02
clay,74.02,42.72,1.22,51.65,soybean,1.07
clay,67.55,39.91,27.93,78.26,soybean,1.01
sandy,26.06,41.18,3.88,98.93,soybean,1.02
loamy,83.38,-0.54,12.2,20.79,barley,1.93
clay,2.21,27.3,16.91,8.87,maize,3.02
clay,79.51,-8.53,0.84,25.84,corn,2.09
sandy,15.61,0.44,1.32,6.15,maize,4.65
loamy,92.98,39.68,4.12,73.76,maize,4.46
sandy,1.56,20.13,18.81,64.59,carrot,1.47
loamy,82.68,22.35,16.41,95.77,soybean,1.32
clay,52.34,33.65,13.83,76.8,soybean,1.05
loamy,20.56,-5.04,23.86,49.85,soybean,1.2
loamy,36.35,22.66,7.81,49.79,sunflower,2.46
loamy,63.39,34.67,22.21,64.55,carrot,1.32
loamy,39.94,22.21,5.42,45.36,rice,1.64
clay,68.3,36.0,13.39,88.3,beans,4.71
loamy,33.79,24.85,5.12,38.16,sunflower,2.19
sandy,37.15,43.28,21.9,79.71,rice,2.86
clay,55.43,11.18,16.57,55.96,cotton,1.01
sandy,23.54,0.99,3.21,32.07,peanuts,3.72
clay,95.13,40.09,9.84,38.77,corn,1.7
loamy,52.48,12.53,9.32,2.54,sunflower,2.28
sandy,66.22,-11.4,23.09,60.21,wheat,1.02
clay,85.78,32.68,22.7,94.66,cotton,1.3
clay,49.06,-9.22,15.3,96.09,soybean,1.07
sandy,65.16,40.74,3.18,44.74,corn,1.63
sandy,25.5,-9.23,1.41,19.48,maize,4.88
sandy,25.02,-8.98,4.79,7.06,peanuts,4.14
loamy,14.21,12.91,5.3,56.88,rice,2.07
sandy,2.27,11.72,4.64,2.81,maize,3.75
loamy,84.82,18.04,13.12,31.83,corn,2.54
clay,97.41,-10.28,10.42,1.76,wheat,1.49
clay,12.89,27.87,18.52,22.45,corn,2.86
sandy,0.11,-8.42,2.95,22.33,beans,4.01
sandy,22.32,-14.01,1.07,23.43,beans,3.53
sandy,14.83,-24.99,2.78,31.03,beans,4.24
loamy,34.51,16.64,8.32,33.21,sunflower,1.59
loamy,77.37,31.47,27.13,94.74,wheat,1.3
clay,19.85,4.49,5.3,97.39,carrot,1.19
sandy,85.09,13.58,24.51,57.82,rice,2.55
clay,81.96,7.77,4.84,12.03,soybean,1.3
sandy,9.31,-7.11,4.91,21.89,maize,3.24
sandy,1.42,-23.64,3.42,34.27,peanuts,4.65
loamy,90.65,44.87,26.75,91.39,cotton,1.06
clay,88.05,35.59,26.46,98.15,carrot,1.32
sandy,7.23,14.47,3.18,38.1,maize,3.57
clay,68.11,-5.15,19.55,65.37,wheat,1.06
sandy,25.17,14.14,4.67,5.91,peanuts,3.58
loamy,49.01,19.11,9.84,43.41,sunflower,1.89
clay,59.46,27.79,18.26,71.96,rice,1.94
sandy,12.34,-20.68,3.33,36.64,peanuts,3.44
loamy,65.62,38.6,27.71,66.3,carrot,1.34
loamy,32.36,11.87,14.26,5.82,sunflower,2.22
clay,90.91,35.01,16.03,67.96,wheat,1.38
loamy,46.66,43.09,26.77,45.75,peanuts,4.0
clay,62.91,16.8,2.31,1.87,beans,3.25
loamy,10.0,38.82,12.99,57.8,wheat,1.16
sandy,91.86,39.12,18.04,11.91,peanuts,4.97
sandy,6.44,-23.79,3.64,33.44,peanuts,3.19
clay,85.43,29.69,21.86,1.79,cotton,1.41
loamy,25.38,20.58,1.31,32.59,soybean,1.07
loamy,43.88,23.43,6.26,45.85,sunflower,1.68
clay,34.88,34.46,13.6,11.34,carrot,1.14
sandy,22.09,37.58,21.46,75.75,soybean,1.49
loamy,46.25,23.29,6.95,33.68,corn,2.23
clay,60.38,36.29,8.7,19.48,cotton,1.08
sandy,19.63,-22.75,4.15,2.4,beans,3.63
loamy,30.96,-13.63,13.03,55.39,cotton,1.23
loamy,86.58,9.28,4.6,27.04,cotton,1.01
sandy,12.82,4.49,0.78,39.86,peanuts,3.61
clay,38.07,21.34,2.84,31.66,soybean,1.39
loamy,85.68,39.44,18.09,74.38,carrot,1.41
clay,4.41,42.31,4.05,78.02,barley,2.36
sandy,90.26,35.31,8.88,34.12,rice,1.62
loamy,63.47,39.46,10.1,89.61,cotton,1.3
sandy,18.57,12.76,13.57,29.55,cotton,1.07
loamy,47.42,2.79,24.35,19.1,corn,2.32
loamy,48.0,23.93,6.16,54.8,corn,2.54
loamy,19.02,38.21,21.42,3.89,soybean,1.46
sandy,0.24,13.94,4.26,20.69,beans,3.11
sandy,23.41,-21.57,2.9,9.74,peanuts,4.92
clay,74.18,-12.15,11.4,55.3,carrot,1.17
loamy,48.59,32.54,2.5,80.17,carrot,1.04
clay,84.85,-0.61,2.07,87.1,sunflower,2.14
loamy,43.0,23.68,7.36,36.41,rice,2.0
sandy,65.08,9.89,9.52,17.34,maize,3.19
loamy,96.63,25.34,6.4,64.56,rice,1.53
loamy,52.86,13.9,0.28,93.28,sunflower,2.47
loamy,45.71,24.65,6.45,43.36,sunflower,1.86
loamy,31.67,23.27,6.23,54.45,barley,2.53
clay,76.82,2.72,22.8,15.46,peanuts,3.87
clay,39.41,-5.62,4.84,30.19,cotton,1.45
sandy,23.3,-12.35,1.46,18.35,peanuts,3.65
loamy,35.45,22.9,6.9,43.81,rice,1.77
clay,47.85,20.27,27.75,50.86,beans,4.77
sandy,60.39,15.35,13.58,63.96,sunflower,2.43
sandy,70.98,38.16,9.22,24.99,carrot,1.21
sandy,23.74,12.24,2.25,7.89,beans,3.3
loamy,43.69,16.44,5.99,32.75,corn,2.29
clay,59.41,-5.09,4.01,94.13,barley,1.76
clay,59.82,38.14,14.94,73.25,wheat,1.04
loamy,89.39,38.24,21.4,87.35,carrot,1.34
clay,4.76,30.81,17.97,57.69,cotton,1.23
sandy,24.9,12.88,1.42,22.84,maize,3.52
loamy,32.35,12.86,5.65,16.17,soybean,1.38
sandy,23.84,-18.48,3.85,23.66,maize,4.9
loamy,65.48,41.68,26.35,70.99,wheat,1.39
loamy,53.09,32.23,17.18,74.23,wheat,1.01
sandy,64.72,-12.57,5.92,39.77,barley,1.81
sandy,9.17,-16.73,3.4,17.02,peanuts,4.68
sandy,97.89,25.82,20.97,86.66,peanuts,3.52
sandy,73.34,1.19,28.75,52.75,sunflower,1.93
sandy,27.52,-2.88,1.42,27.48,maize,3.62
loamy,5.28,15.95,29.98,23.25,soybean,1.11
loamy,88.61,37.88,11.63,63.36,wheat,1.33
sandy,48.57,1.16,7.61,58.09,sunflower,2.73
loamy,61.51,26.07,25.06,93.43,cotton,1.15
sandy,36.24,38.15,8.33,72.79,rice,2.93
sandy,11.69,5.07,2.69,9.3,beans,4.79
loamy,86.27,8.69,11.61,79.17,cotton,1.38
loamy,40.71,15.45,6.04,33.29,sunflower,2.9
loamy,43.48,18.01,5.29,49.86,corn,2.31
loamy,41.36,21.04,8.23,50.19,sunflower,2.55
loamy,45.58,16.78,8.08,47.48,rice,1.56
loamy,30.33,15.27,7.24,48.83,rice,2.83
clay,98.83,29.7,19.09,92.4,cotton,1.11
loamy,34.14,15.66,5.05,41.79,rice,2.07
loamy,1.45,22.66,28.44,47.29,beans,3.64
sandy,25.81,4.29,3.82,17.29,maize,4.85
clay,81.74,28.64,28.24,78.23,soybean,1.34
loamy,30.4,23.81,8.47,32.03,corn,1.74
loamy,78.07,38.88,24.67,80.68,soybean,1.25
clay,60.81,35.13,19.4,79.88,carrot,1.14
sandy,64.76,-10.28,20.86,14.89,maize,4.0
sandy,2.36,-2.87,5.53,77.37,barley,2.04
loamy,40.83,16.73,7.39,58.04,barley,1.72
loamy,74.35,26.15,22.86,80.56,carrot,1.37
loamy,42.38,24.21,7.1,56.26,corn,2.87
loamy,39.88,16.19,6.3,48.82,barley,1.75
loamy,32.86,19.3,6.46,31.3,sunflower,1.73
sandy,26.5,13.34,13.99,81.44,barley,2.82
loamy,49.75,22.57,9.27,56.9,sunflower,1.84
loamy,88.15,34.41,10.74,68.28,soybean,1.22
loamy,60.58,26.99,24.43,91.41,carrot,1.13
loamy,10.58,23.24,1.47,67.21,carrot,1.29
loamy,35.2,25.0,9.16,50.95,corn,1.61
sandy,82.33,38.49,4.6,30.74,maize,4.08
clay,93.59,32.64,19.56,62.26,cotton,1.33
loamy,35.93,20.69,8.64,46.92,rice,2.06
sandy,0.48,-15.46,1.76,39.64,peanuts,4.5
clay,88.24,5.42,22.31,79.57,barley,2.63
sandy,94.34,-10.26,0.94,50.93,corn,2.55
loamy,43.53,16.06,5.91,57.37,sunflower,2.05
loamy,51.75,-10.13,12.56,61.95,cotton,1.35
loamy,91.72,27.36,12.82,88.73,carrot,1.15
clay,66.86,30.89,14.69,73.03,soybean,1.23
loamy,47.55,15.36,8.88,44.55,barley,2.43
clay,77.72,35.44,28.73,81.99,wheat,1.11
sandy,34.82,31.06,25.17,53.25,sunflower,1.55
clay,57.84,5.02,9.64,15.44,peanuts,4.93
clay,88.9,26.69,18.9,70.67,carrot,1.38
loamy,48.04,16.04,7.62,40.31,rice,2.87
loamy,38.08,15.83,8.76,42.83,sunflower,1.53
loamy,32.56,15.9,9.9,54.63,sunflower,2.61
loamy,82.66,31.41,23.55,96.24,cotton,1.06
loamy,48.12,16.52,6.53,57.05,barley,1.64
loamy,43.48,18.05,6.16,44.12,barley,2.83
clay,23.17,17.84,19.93,29.59,rice,1.65
loamy,74.3,27.55,15.12,83.04,wheat,1.26
loamy,46.87,19.93,6.56,50.42,rice,2.53
clay,81.04,39.58,19.76,6.88,carrot,1.44
loamy,69.93,41.27,17.45,93.02,maize,4.04
clay,44.32,-7.11,21.7,20.85,corn,2.7
loamy,68.91,44.84,28.42,93.67,cotton,1.43
loamy,70.49,32.6,12.76,64.61,cotton,1.13
loamy,40.85,19.43,5.15,42.54,sunflower,2.24
loamy,41.95,24.11,7.99,39.57,corn,2.91
sandy,82.22,35.24,29.15,2.92,wheat,1.38
clay,19.9,-10.77,4.95,97.13,carrot,1.14
loamy,48.82,16.47,7.96,59.62,barley,1.62
loamy,76.89,36.0,13.11,89.37,carrot,1.34
loamy,48.02,22.54,7.61,44.35,corn,2.03
loamy,62.01,41.95,11.45,64.81,cotton,1.23
sandy,18.22,39.79,4.78,38.26,cotton,1.37
sandy,23.46,12.79,25.88,23.45,soybean,1.15
sandy,65.25,40.5,19.49,3.64,barley,2.92
sandy,22.17,0.34,2.11,3.75,peanuts,4.21
loamy,59.49,15.28,12.04,47.28,maize,3.93
loamy,44.62,22.74,5.83,34.08,sunflower,2.96
clay,63.1,21.86,9.26,72.92,cotton,1.2
clay,21.96,43.87,28.64,11.38,peanuts,3.95
sandy,13.96,2.97,0.71,11.23,beans,4.98
sandy,4.87,3.2,3.71,26.28,beans,4.52
loamy,37.33,21.66,5.43,58.34,corn,1.91
sandy,13.52,29.78,15.55,10.02,cotton,1.41
sandy,29.77,-6.54,4.56,39.05,beans,4.07
clay,90.21,38.63,29.57,68.7,soybean,1.05
sandy,86.12,34.18,11.72,18.31,carrot,1.44
loamy,39.34,17.45,9.45,56.84,sunflower,2.75
clay,9.24,12.5,3.41,0.59,barley,2.06
loamy,33.73,17.39,6.46,54.32,rice,2.17
loamy,35.66,15.73,6.15,50.62,barley,2.07
loamy,44.68,18.09,7.52,33.54,rice,2.67
loamy,39.97,19.83,6.22,54.39,corn,2.43
loamy,49.58,8.33,10.24,45.74,sunflower,2.95
loamy,74.11,40.5,21.08,97.91,cotton,1.41
loamy,43.52,21.09,5.51,53.58,rice,2.77
sandy,38.34,15.98,26.45,34.81,cotton,1.25
clay,78.42,33.36,9.91,50.9,beans,3.66
sandy,17.38,10.18,1.89,18.08,maize,3.11
loamy,47.4,21.24,7.99,53.14,barley,2.29
clay,5.77,23.98,2.53,40.0,rice,2.5
loamy,95.45,32.14,17.78,99.72,cotton,1.4
loamy,39.23,23.75,8.97,51.24,barley,1.93
clay,78.35,-0.18,23.54,9.0,soybean,1.18
loamy,74.4,28.03,13.69,98.28,soybean,1.24
loamy,58.7,30.86,13.57,84.21,wheat,1.28
sandy,54.67,41.11,9.89,92.95,wheat,1.23
clay,88.59,35.51,12.8,89.61,soybean,1.4
sandy,3.5,32.28,7.3,7.05,beans,3.11
loamy,1.01,20.11,4.82,81.04,corn,2.95
loamy,38.01,31.33,17.19,40.4,maize,3.68
loamy,36.01,23.22,9.51,50.75,corn,1.64
loamy,58.26,24.8,7.7,29.94,beans,3.73
sandy,13.29,32.31,11.43,23.47,corn,2.2
loamy,43.75,16.31,8.26,48.41,corn,2.52
sandy,95.69,26.61,10.63,4.6,cotton,1.5
loamy,40.98,38.48,2.47,36.44,soybean,1.11
loamy,11.26,28.1,8.9,88.64,beans,4.65
loamy,48.65,16.72,6.88,31.38,sunflower,2.89
loamy,33.55,42.49,28.3,93.37,rice,2.99
clay,60.43,44.19,2.91,51.54,sunflower,2.22
clay,31.6,44.68,1.44,75.14,carrot,1.14
clay,63.87,36.66,27.91,37.74,peanuts,4.69
loamy,61.86,-13.1,9.41,97.28,carrot,1.15
sandy,1.14,-10.96,3.16,29.54,maize,3.77
sandy,63.77,-2.5,10.69,94.97,corn,2.73
clay,36.77,16.19,12.88,27.33,corn,2.13
loamy,35.55,19.43,6.05,59.68,barley,2.56
sandy,10.82,2.59,3.41,14.93,maize,4.59
loamy,64.04,44.91,12.91,94.7,soybean,1.07
loamy,43.84,19.28,5.75,44.06,rice,1.77
loamy,77.84,38.42,20.74,68.0,carrot,1.45
sandy,21.52,3.07,3.13,34.57,maize,3.42
sandy,23.27,-16.12,0.23,10.08,peanuts,4.06
sandy,56.77,7.44,24.94,65.13,sunflower,1.73
loamy,45.02,-1.2,15.49,32.28,sunflower,2.15
clay,30.29,42.94,9.2,73.34,barley,2.22
clay,1.53,-7.77,0.3,77.92,maize,3.49
clay,58.62,27.38,17.44,72.53,wheat,1.15
clay,39.37,-13.4,7.55,0.14,carrot,1.01
loamy,82.05,39.54,10.5,89.03,soybean,1.23
clay,28.56,25.98,2.63,96.29,carrot,1.36
sandy,79.45,-10.37,23.88,23.59,rice,2.85
clay,97.17,38.02,14.03,79.22,soybean,1.41
sandy,2.21,10.48,0.15,33.93,maize,4.99
clay,75.29,12.93,8.57,1.48,peanuts,3.77
clay,47.94,-13.34,5.82,95.29,wheat,1.01
loamy,59.93,11.24,27.83,12.48,barley,2.3
clay,62.83,36.84,24.47,84.53,carrot,1.4
loamy,14.79,32.84,20.85,97.99,carrot,1.44
sandy,3.77,-7.84,3.98,9.5,beans,4.58
clay,28.67,34.55,12.08,45.07,beans,4.23
loamy,36.37,23.58,6.64,31.2,rice,2.35
clay,14.44,7.32,20.43,25.21,barley,2.66
sandy,71.41,12.79,4.46,32.82,corn,2.74
clay,97.8,25.35,24.31,72.04,carrot,1.08
clay,63.49,31.12,29.44,83.01,soybean,1.49
loamy,2.34,4.35,27.78,2.29,carrot,1.3
clay,95.52,33.11,16.47,93.0,cotton,1.11
loamy,47.43,15.6,9.73,31.89,corn,1.61
clay,16.18,40.58,16.73,51.09,rice,2.4
clay,52.19,26.2,22.33,79.14,carrot,1.49
sandy,91.62,-12.22,28.03,80.73,cotton,1.01
sandy,10.69,7.17,3.59,39.73,peanuts,4.86
loamy,96.2,43.97,24.05,65.75,soybean,1.21
loamy,77.6,36.14,10.56,83.23,soybean,1.18
clay,87.82,38.7,26.31,97.7,wheat,1.45
sandy,9.64,-8.68,0.43,28.12,maize,3.79
loamy,37.05,21.93,6.14,32.93,rice,2.85
loamy,48.55,17.23,5.64,51.15,corn,1.63
loamy,31.5,17.64,6.06,37.81,sunflower,1.95
clay,96.81,5.5,16.37,35.42,rice,1.73
loamy,46.95,23.32,9.49,43.37,barley,2.56
loamy,32.32,18.42,6.8,45.93,sunflower,1.51
sandy,10.88,-2.58,0.48,20.39,peanuts,3.04
sandy,68.2,14.0,27.57,60.4,peanuts,4.24
loamy,83.69,25.97,16.24,90.39,cotton,1.17
loamy,30.14,23.92,7.37,44.45,sunflower,1.55
clay,78.57,28.8,16.68,67.6,cotton,1.11
loamy,9.68,16.01,11.5,12.96,maize,4.86
clay,90.5,34.58,25.98,78.13,soybean,1.44
loamy,74.78,29.81,3.84,38.43,peanuts,3.25
loamy,69.55,35.71,29.86,86.51,carrot,1.23
loamy,30.67,22.2,5.5,44.2,barley,1.54
loamy,81.58,-9.81,0.38,48.62,rice,2.64
clay,34.65,34.61,20.95,53.17,carrot,1.41
sandy,17.14,-13.87,0.33,38.38,beans,4.5
clay,81.47,34.92,16.89,90.06,cotton,1.17
loamy,48.77,21.93,7.85,34.21,sunflower,2.33
clay,41.17,44.06,27.23,72.23,cotton,1.04
sandy,10.53,9.47,3.73,30.5,beans,4.39
loamy,77.8,5.01,17.13,47.43,cotton,1.21
loamy,41.1,23.7,8.03,47.46,sunflower,2.75
sandy,31.69,27.29,1.65,84.66,rice,1.88
clay,48.81,19.56,3.71,70.17,peanuts,4.99
loamy,44.68,18.76,9.64,57.22,barley,1.8
loamy,35.51,15.11,5.81,51.67,barley,1.58
sandy,27.27,14.14,2.24,15.9,maize,3.38
sandy,9.52,14.32,1.65,19.08,peanuts,3.99
loamy,38.46,16.8,9.17,59.92,rice,2.37
loamy,34.78,15.44,8.25,41.87,corn,1.51
loamy,54.61,34.67,12.25,72.37,soybean,1.02
clay,33.38,1.09,2.41,76.53,sunflower,1.55
sandy,23.23,-3.21,4.49,7.84,maize,3.63
clay,62.79,8.18,19.43,60.68,maize,4.54
sandy,24.52,-21.17,0.56,16.82,peanuts,4.3
loamy,45.86,17.13,5.83,58.24,rice,3.0
sandy,51.83,-0.78,16.99,22.66,cotton,1.11
clay,86.06,42.45,20.37,74.98,carrot,1.49
loamy,32.56,19.81,5.21,52.04,corn,2.13
sandy,62.44,19.69,27.46,1.85,corn,2.25
loamy,77.57,19.48,14.38,9.43,soybean,1.38
loamy,32.74,15.05,8.31,39.48,sunflower,1.96
loamy,99.96,26.08,21.71,68.98,soybean,1.44
sandy,22.35,-6.3,0.21,31.26,maize,4.65
clay,53.14,19.52,15.08,4.49,cotton,1.23
sandy,61.29,17.11,29.89,69.14,barley,2.13
loamy,76.74,35.12,19.17,67.41,soybean,1.38
sandy,11.08,-17.29,3.89,20.75,beans,4.2
clay,59.98,36.11,14.17,76.04,soybean,1.37
clay,88.59,26.98,12.61,83.1,wheat,1.15
loamy,38.55,20.84,8.34,47.65,rice,1.84
clay,69.38,34.42,11.09,77.68,wheat,1.05
loamy,32.73,17.84,26.72,39.14,carrot,1.2
loamy,53.29,28.64,27.39,71.92,wheat,1.1
loamy,43.07,23.21,8.87,30.93,rice,2.12
loamy,58.05,31.11,6.26,78.13,cotton,1.01
loamy,53.35,-7.31,0.5,45.09,soybean,1.41
loamy,92.52,41.03,26.19,90.95,cotton,1.23
loamy,38.99,17.91,8.26,54.9,corn,2.08
loamy,65.14,34.12,13.46,76.93,barley,1.71
clay,7.09,-2.23,4.85,70.09,peanuts,3.58
loamy,47.23,27.65,19.76,10.88,beans,3.33
loamy,72.74,37.52,24.93,93.22,wheat,1.39
loamy,30.77,22.21,5.16,53.82,rice,2.57
loamy,95.7,22.82,27.31,11.68,corn,2.46
loamy,37.8,24.7,7.28,50.79,rice,2.66
sandy,1.68,-7.04,0.98,29.36,peanuts,3.29
clay,79.95,39.62,13.31,98.82,carrot,1.04
sandy,72.12,-7.05,7.78,15.85,barley,1.81
loamy,44.31,24.98,9.78,50.66,barley,1.77
sandy,1.93,41.52,25.16,21.97,carrot,1.15
loamy,95.46,36.05,28.56,91.46,cotton,1.41
clay,72.84,28.72,25.53,89.38,soybean,1.0
sandy,24.86,-14.05,4.4,23.39,peanuts,4.46
clay,24.08,0.85,4.63,16.85,corn,1.96
loamy,47.96,18.37,9.72,58.56,sunflower,2.07
loamy,37.13,19.8,7.04,54.3,rice,1.86
loamy,99.61,7.06,28.54,29.47,sunflower,1.76
sandy,27.75,5.35,0.97,17.12,peanuts,3.17
sandy,11.67,-7.12,3.01,21.92,peanuts,4.76
sandy,33.63,36.77,1.69,77.32,peanuts,3.99
sandy,8.62,-20.26,0.75,24.79,peanuts,4.63
clay,39.68,3.33,29.28,86.15,rice,2.05
sandy,20.53,28.37,21.86,69.28,sunflower,2.59
loamy,20.32,15.44,27.5,39.19,peanuts,4.13
loamy,85.73,32.61,16.93,72.24,maize,3.34
clay,71.79,44.89,12.88,83.67,wheat,1.27
loamy,51.59,14.79,8.56,22.88,wheat,1.25
loamy,32.45,20.29,6.24,47.49,barley,2.48
sandy,12.08,7.13,3.58,17.53,maize,4.28
loamy,61.54,43.72,11.99,61.5,wheat,1.03
loamy,46.15,22.1,5.17,48.56,barley,2.63
sandy,22.6,2.01,3.5,37.49,peanuts,3.72
sandy,40.15,-12.15,14.21,77.31,maize,3.95
sandy,21.22,-13.55,16.58,53.68,carrot,1.3
loamy,42.27,18.86,6.93,50.89,barley,2.77
loamy,38.7,16.31,5.55,42.31,rice,2.55
loamy,42.2,23.18,5.1,59.41,rice,1.94
loamy,34.38,23.5,6.35,52.42,barley,2.67
